index,Tempo,Ptx,Joint,AngErr_NoLag
0,80,0,Distal-Medial,3.547
1,80,0,Distal-Medial,2.698
2,80,0,Distal-Medial,1.969
3,80,0,Distal-Medial,1.351
4,80,0,Distal-Medial,0.837
5,80,0,Distal-Medial,0.418
6,80,0,Distal-Medial,0.086
7,80,0,Distal-Medial,0.165
8,80,0,Distal-Medial,0.344
9,80,0,Distal-Medial,0.456
10,80,0,Distal-Medial,0.509
11,80,0,Distal-Medial,0.508
12,80,0,Distal-Medial,0.461
13,80,0,Distal-Medial,0.372
14,80,0,Distal-Medial,0.247
15,80,0,Distal-Medial,0.091
16,80,0,Distal-Medial,0.09
17,80,0,Distal-Medial,0.293
18,80,0,Distal-Medial,0.512
19,80,0,Distal-Medial,0.744
20,80,0,Distal-Medial,0.984
21,80,0,Distal-Medial,1.23
22,80,0,Distal-Medial,1.478
23,80,0,Distal-Medial,1.724
24,80,0,Distal-Medial,1.967
25,80,0,Distal-Medial,2.204
26,80,0,Distal-Medial,2.432
27,80,0,Distal-Medial,2.65
28,80,0,Distal-Medial,2.856
29,80,0,Distal-Medial,3.048
30,80,0,Distal-Medial,3.226
31,80,0,Distal-Medial,3.389
32,80,0,Distal-Medial,3.537
33,80,0,Distal-Medial,3.668
34,80,0,Distal-Medial,3.784
35,80,0,Distal-Medial,3.884
36,80,0,Distal-Medial,3.969
37,80,0,Distal-Medial,4.041
38,80,0,Distal-Medial,4.152
39,80,0,Distal-Medial,4.199
40,80,0,Distal-Medial,4.197
41,80,0,Distal-Medial,4.162
42,80,0,Distal-Medial,4.107
43,80,0,Distal-Medial,4.049
44,80,0,Distal-Medial,4.004
45,80,0,Distal-Medial,3.987
46,80,0,Distal-Medial,4.014
47,80,0,Distal-Medial,4.097
48,80,0,Distal-Medial,4.244
49,80,0,Distal-Medial,4.458
50,80,1,Distal-Medial,4.74
51,80,1,Distal-Medial,5.087
52,80,1,Distal-Medial,5.497
53,80,1,Distal-Medial,5.97
54,80,1,Distal-Medial,6.504
55,80,1,Distal-Medial,7.094
56,80,1,Distal-Medial,7.74
57,80,1,Distal-Medial,8.44
58,80,1,Distal-Medial,9.192
59,80,1,Distal-Medial,9.987
60,80,1,Distal-Medial,10.812
61,80,1,Distal-Medial,11.662
62,80,1,Distal-Medial,12.532
63,80,1,Distal-Medial,13.264
64,80,1,Distal-Medial,14.014
65,80,1,Distal-Medial,14.779
66,80,1,Distal-Medial,15.557
67,80,1,Distal-Medial,16.344
68,80,1,Distal-Medial,17.138
69,80,1,Distal-Medial,17.935
70,80,1,Distal-Medial,18.733
71,80,1,Distal-Medial,19.526
72,80,1,Distal-Medial,20.312
73,80,1,Distal-Medial,21.086
74,80,1,Distal-Medial,21.845
75,80,1,Distal-Medial,22.582
76,80,1,Distal-Medial,23.295
77,80,1,Distal-Medial,23.978
78,80,1,Distal-Medial,24.625
79,80,1,Distal-Medial,25.232
80,80,1,Distal-Medial,25.793
81,80,1,Distal-Medial,26.302
82,80,1,Distal-Medial,26.754
83,80,1,Distal-Medial,27.141
84,80,1,Distal-Medial,27.459
85,80,1,Distal-Medial,27.7
86,80,1,Distal-Medial,27.857
87,80,1,Distal-Medial,27.924
88,80,1,Distal-Medial,27.893
89,80,1,Distal-Medial,27.758
90,80,1,Distal-Medial,27.51
91,80,1,Distal-Medial,27.141
92,80,1,Distal-Medial,26.644
93,80,1,Distal-Medial,26.011
94,80,1,Distal-Medial,25.232
95,80,1,Distal-Medial,24.3
96,80,1,Distal-Medial,23.206
97,80,1,Distal-Medial,21.94
98,80,1,Distal-Medial,20.493
99,80,1,Distal-Medial,18.856
0,80,0,Medial-Proximal,6.353
1,80,0,Medial-Proximal,7.742
2,80,0,Medial-Proximal,8.964
3,80,0,Medial-Proximal,10.031
4,80,0,Medial-Proximal,10.951
5,80,0,Medial-Proximal,11.736
6,80,0,Medial-Proximal,12.395
7,80,0,Medial-Proximal,12.939
8,80,0,Medial-Proximal,13.375
9,80,0,Medial-Proximal,13.714
10,80,0,Medial-Proximal,13.964
11,80,0,Medial-Proximal,14.132
12,80,0,Medial-Proximal,14.228
13,80,0,Medial-Proximal,14.259
14,80,0,Medial-Proximal,14.231
15,80,0,Medial-Proximal,14.153
16,80,0,Medial-Proximal,14.031
17,80,0,Medial-Proximal,13.87
18,80,0,Medial-Proximal,13.679
19,80,0,Medial-Proximal,13.461
20,80,0,Medial-Proximal,13.222
21,80,0,Medial-Proximal,12.969
22,80,0,Medial-Proximal,12.704
23,80,0,Medial-Proximal,12.434
24,80,0,Medial-Proximal,12.162
25,80,0,Medial-Proximal,11.892
26,80,0,Medial-Proximal,11.627
27,80,0,Medial-Proximal,11.371
28,80,0,Medial-Proximal,11.127
29,80,0,Medial-Proximal,10.897
