index,Tempo,Ptx,Joint,AngVelErr_NoLag
0,80,0,Distal-Medial,0.147
1,80,0,Distal-Medial,0.113
2,80,0,Distal-Medial,0.083
3,80,0,Distal-Medial,0.058
4,80,0,Distal-Medial,0.038
5,80,0,Distal-Medial,0.022
6,80,0,Distal-Medial,0.01
7,80,0,Distal-Medial,0.001
8,80,0,Distal-Medial,0.004
9,80,0,Distal-Medial,0.005
10,80,0,Distal-Medial,0.003
11,80,0,Distal-Medial,0.001
12,80,0,Distal-Medial,0.009
13,80,0,Distal-Medial,0.019
14,80,0,Distal-Medial,0.031
15,80,0,Distal-Medial,0.045
16,80,0,Distal-Medial,0.062
17,80,0,Distal-Medial,0.08
18,80,0,Distal-Medial,0.1
19,80,0,Distal-Medial,0.122
20,80,0,Distal-Medial,0.145
21,80,0,Distal-Medial,0.169
22,80,0,Distal-Medial,0.194
23,80,0,Distal-Medial,0.219
24,80,0,Distal-Medial,0.246
25,80,0,Distal-Medial,0.273
26,80,0,Distal-Medial,0.3
27,80,0,Distal-Medial,0.328
28,80,0,Distal-Medial,0.356
29,80,0,Distal-Medial,0.384
30,80,0,Distal-Medial,0.411
31,80,0,Distal-Medial,0.439
32,80,0,Distal-Medial,0.466
33,80,0,Distal-Medial,0.492
34,80,0,Distal-Medial,0.518
35,80,0,Distal-Medial,0.544
36,80,0,Distal-Medial,0.568
37,80,0,Distal-Medial,0.592
38,80,0,Distal-Medial,0.62
39,80,0,Distal-Medial,0.648
40,80,0,Distal-Medial,0.679
41,80,0,Distal-Medial,0.71
42,80,0,Distal-Medial,0.738
43,80,0,Distal-Medial,0.761
44,80,0,Distal-Medial,0.776
45,80,0,Distal-Medial,0.784
46,80,0,Distal-Medial,0.784
47,80,0,Distal-Medial,0.776
48,80,0,Distal-Medial,0.763
49,80,0,Distal-Medial,0.751
50,80,1,Distal-Medial,0.742
51,80,1,Distal-Medial,0.734
52,80,1,Distal-Medial,0.725
53,80,1,Distal-Medial,0.719
54,80,1,Distal-Medial,0.714
55,80,1,Distal-Medial,0.708
56,80,1,Distal-Medial,0.701
57,80,1,Distal-Medial,0.692
58,80,1,Distal-Medial,0.683
59,80,1,Distal-Medial,0.673
60,80,1,Distal-Medial,0.662
61,80,1,Distal-Medial,0.653
62,80,1,Distal-Medial,0.648
63,80,1,Distal-Medial,0.638
64,80,1,Distal-Medial,0.627
65,80,1,Distal-Medial,0.616
66,80,1,Distal-Medial,0.606
67,80,1,Distal-Medial,0.595
68,80,1,Distal-Medial,0.585
69,80,1,Distal-Medial,0.574
70,80,1,Distal-Medial,0.564
71,80,1,Distal-Medial,0.553
72,80,1,Distal-Medial,0.542
73,80,1,Distal-Medial,0.532
74,80,1,Distal-Medial,0.521
75,80,1,Distal-Medial,0.51
76,80,1,Distal-Medial,0.498
77,80,1,Distal-Medial,0.486
78,80,1,Distal-Medial,0.474
79,80,1,Distal-Medial,0.462
80,80,1,Distal-Medial,0.448
81,80,1,Distal-Medial,0.434
82,80,1,Distal-Medial,0.42
83,80,1,Distal-Medial,0.404
84,80,1,Distal-Medial,0.387
85,80,1,Distal-Medial,0.369
86,80,1,Distal-Medial,0.35
87,80,1,Distal-Medial,0.33
88,80,1,Distal-Medial,0.307
89,80,1,Distal-Medial,0.283
90,80,1,Distal-Medial,0.258
91,80,1,Distal-Medial,0.23
92,80,1,Distal-Medial,0.199
93,80,1,Distal-Medial,0.166
94,80,1,Distal-Medial,0.131
95,80,1,Distal-Medial,0.092
96,80,1,Distal-Medial,0.051
97,80,1,Distal-Medial,0.006
98,80,1,Distal-Medial,0.043
99,80,1,Distal-Medial,0.095
0,80,0,Medial-Proximal,0.09
1,80,0,Medial-Proximal,0.101
2,80,0,Medial-Proximal,0.11
3,80,0,Medial-Proximal,0.117
4,80,0,Medial-Proximal,0.123
5,80,0,Medial-Proximal,0.129
6,80,0,Medial-Proximal,0.133
7,80,0,Medial-Proximal,0.137
8,80,0,Medial-Proximal,0.14
9,80,0,Medial-Proximal,0.143
10,80,0,Medial-Proximal,0.146
11,80,0,Medial-Proximal,0.149
12,80,0,Medial-Proximal,0.151
13,80,0,Medial-Proximal,0.154
14,80,0,Medial-Proximal,0.158
15,80,0,Medial-Proximal,0.161
16,80,0,Medial-Proximal,0.166
17,80,0,Medial-Proximal,0.17
18,80,0,Medial-Proximal,0.176
19,80,0,Medial-Proximal,0.182
20,80,0,Medial-Proximal,0.189
21,80,0,Medial-Proximal,0.197
22,80,0,Medial-Proximal,0.206
23,80,0,Medial-Proximal,0.216
24,80,0,Medial-Proximal,0.227
25,80,0,Medial-Proximal,0.239
26,80,0,Medial-Proximal,0.252
27,80,0,Medial-Proximal,0.266
28,80,0,Medial-Proximal,0.281
29,80,0,Medial-Proximal,0.296
30,80,0,Medial-Proximal,0.313
31,80,0,Medial-Proximal,0.331
32,80,0,Medial-Proximal,0.35
33,80,0,Medial-Proximal,0.37
34,80,0,Medial-Proximal,0.39
35,80,0,Medial-Proximal,0.411
36,80,0,Medial-Proximal,0.433
37,80,0,Medial-Proximal,0.456
38,80,0,Medial-Proximal,0.479
39,80,0,Medial-Proximal,0.509
40,80,0,Medial-Proximal,0.543
41,80,0,Medial-Proximal,0.579
42,80,0,Medial-Proximal,0.616
43,80,0,Medial-Proximal,0.651
44,80,0,Medial-Proximal,0.684
45,80,0,Medial-Proximal,0.714
46,80,0,Medial-Proximal,0.739
47,80,0,Medial-Proximal,0.757
48,80,0,Medial-Proximal,0.769
49,80,0,Medial-Proximal,0.773
50,80,1,Medial-Proximal,0.769
51,80,1,Medial-Proximal,0.757
52,80,1,Medial-Proximal,0.736
53,80,1,Medial-Proximal,0.712
54,80,1,Medial-Proximal,0.689
55,80,1,Medial-Proximal,0.674
56,80,1,Medial-Proximal,0.663
57,80,1,Medial-Proximal,0.654
58,80,1,Medial-Proximal,0.647
59,80,1,Medial-Proximal,0.642
60,80,1,Medial-Proximal,0.638
61,80,1,Medial-Proximal,0.635
62,80,1,Medial-Proximal,0.636
63,80,1,Medial-Proximal,0.635
64,80,1,Medial-Proximal,0.634
65,80,1,Medial-Proximal,0.634
66,80,1,Medial-Proximal,0.634
67,80,1,Medial-Proximal,0.634
68,80,1,Medial-Proximal,0.635
69,80,1,Medial-Proximal,0.635
70,80,1,Medial-Proximal,0.636
71,80,1,Medial-Proximal,0.637
72,80,1,Medial-Proximal,0.638
73,80,1,Medial-Proximal,0.639
74,80,1,Medial-Proximal,0.639
75,80,1,Medial-Proximal,0.639
76,80,1,Medial-Proximal,0.638
77,80,1,Medial-Proximal,0.637
78,80,1,Medial-Proximal,0.635
79,80,1,Medial-Proximal,0.632
80,80,1,Medial-Proximal,0.628
81,80,1,Medial-Proximal,0.622
82,80,1,Medial-Proximal,0.615
83,80,1,Medial-Proximal,0.605
84,80,1,Medial-Proximal,0.594
85,80,1,Medial-Proximal,0.581
86,80,1,Medial-Proximal,0.565
87,80,1,Medial-Proximal,0.546
88,80,1,Medial-Proximal,0.525
89,80,1,Medial-Proximal,0.5
90,80,1,Medial-Proximal,0.471
91,80,1,Medial-Proximal,0.438
92,80,1,Medial-Proximal,0.402
93,80,1,Medial-Proximal,0.36
94,80,1,Medial-Proximal,0.314
95,80,1,Medial-Proximal,0.263
96,80,1,Medial-Proximal,0.206
97,80,1,Medial-Proximal,0.143
98,80,1,Medial-Proximal,0.073
99,80,1,Medial-Proximal,0.003
0,80,0,Proximal-Metacapal,0.3
1,80,0,Proximal-Metacapal,0.241
2,80,0,Proximal-Metacapal,0.19
3,80,0,Proximal-Metacapal,0.145
4,80,0,Proximal-Metacapal,0.108
5,80,0,Proximal-Metacapal,0.077
6,80,0,Proximal-Metacapal,0.051
7,80,0,Proximal-Metacapal,0.031
8,80,0,Proximal-Metacapal,0.016
9,80,0,Proximal-Metacapal,0.006
10,80,0,Proximal-Metacapal,0.0
11,80,0,Proximal-Metacapal,0.003
12,80,0,Proximal-Metacapal,0.002
13,80,0,Proximal-Metacapal,0.001
14,80,0,Proximal-Metacapal,0.007
15,80,0,Proximal-Metacapal,0.016
16,80,0,Proximal-Metacapal,0.026
17,80,0,Proximal-Metacapal,0.039
18,80,0,Proximal-Metacapal,0.052
19,80,0,Proximal-Metacapal,0.067
20,80,0,Proximal-Metacapal,0.082
21,80,0,Proximal-Metacapal,0.098
22,80,0,Proximal-Metacapal,0.115
23,80,0,Proximal-Metacapal,0.131
24,80,0,Proximal-Metacapal,0.148
25,80,0,Proximal-Metacapal,0.164
26,80,0,Proximal-Metacapal,0.18
27,80,0,Proximal-Metacapal,0.195
28,80,0,Proximal-Metacapal,0.21
29,80,0,Proximal-Metacapal,0.224
30,80,0,Proximal-Metacapal,0.237
31,80,0,Proximal-Metacapal,0.249
32,80,0,Proximal-Metacapal,0.26
33,80,0,Proximal-Metacapal,0.269
34,80,0,Proximal-Metacapal,0.278
35,80,0,Proximal-Metacapal,0.285
36,80,0,Proximal-Metacapal,0.291
37,80,0,Proximal-Metacapal,0.296
38,80,0,Proximal-Metacapal,0.309
39,80,0,Proximal-Metacapal,0.319
40,80,0,Proximal-Metacapal,0.325
41,80,0,Proximal-Metacapal,0.329
42,80,0,Proximal-Metacapal,0.329
43,80,0,Proximal-Metacapal,0.32
44,80,0,Proximal-Metacapal,0.304
45,80,0,Proximal-Metacapal,0.282
46,80,0,Proximal-Metacapal,0.258
47,80,0,Proximal-Metacapal,0.234
48,80,0,Proximal-Metacapal,0.227
49,80,0,Proximal-Metacapal,0.233
50,80,1,Proximal-Metacapal,0.246
51,80,1,Proximal-Metacapal,0.262
52,80,1,Proximal-Metacapal,0.278
53,80,1,Proximal-Metacapal,0.295
54,80,1,Proximal-Metacapal,0.312
55,80,1,Proximal-Metacapal,0.328
56,80,1,Proximal-Metacapal,0.342
57,80,1,Proximal-Metacapal,0.355
58,80,1,Proximal-Metacapal,0.369
59,80,1,Proximal-Metacapal,0.384
60,80,1,Proximal-Metacapal,0.402
61,80,1,Proximal-Metacapal,0.425
62,80,1,Proximal-Metacapal,0.45
