,PtxID,TrialNum,height,tempos,TargetID,TargetLateral,TargetVertical,MaxVel_Real,MaxVel_Virt,Lag,PathOffset,PathOffsetNoLag,EndError,EndError_cleaned,PathOffset_cleaned,PathOffsetNoLag_cleaned
0,Susan,0,low,80,row_A1,left,far,2.144261798591504,1.6611200200111735,0.0,2.55,2.55,1.37,0.9012132295973374,1.350704963756626,2.115006043340077
1,Susan,1,low,80,row_A6,right,far,1.5359221876867852,1.7395672862509866,43.8,3.65,6.71,3.3,1.5703593010346784,1.6612550803522241,4.835876187389925
2,Susan,2,low,80,row_B4,center,middle,1.4009083794058832,1.6218053373598311,70.0,2.05,9.98,1.05,0.7442322135284019,1.1796957329389302,6.709155965176712
3,Susan,3,low,80,row_B2,left,middle,2.8181870261415782,1.0477396685229028,35.2,1.57,6.6,0.58,0.4680480799488107,0.9898891605757609,4.769744812167729
4,Susan,4,low,80,row_C4,center,close,1.2542884400525842,1.3949736427301087,52.5,1.98,8.45,1.2,0.8203738981834285,1.153768502007011,5.853086627985124
5,Susan,5,low,80,row_A5,right,far,1.5678910265993922,1.9804973619060864,36.0,2.24,5.6,0.92,0.6740718756091502,1.2474611314209483,4.156974410130066
6,Susan,6,low,80,row_C3,center,close,3.143022014794444,1.2473429053411933,54.6,2.3,10.32,1.36,0.8966048046108566,1.2681181999924207,6.895221295692948
10,Susan,10,low,80,row_A4,center,far,1.5851091677703817,1.2674549997310145,62.4,4.53,12.48,0.74,0.569511724151297,1.8651303337036862,8.046738316509005
11,Susan,11,low,80,row_B3,center,middle,1.047598990473157,1.1151956689773337,49.2,1.6,7.98,1.42,0.9239961044962497,1.0026509310601806,5.583319681083261
12,Susan,12,low,80,row_C5,right,close,2.0425673839646405,1.6907194771520573,17.4,2.37,4.03,1.83,1.0963115927823641,1.2917951315454501,3.14498256649209
16,Susan,16,low,80,row_B6,right,middle,1.6519782735214754,2.3811635244843314,41.2,6.37,9.48,2.01,1.16494658205619,2.2108739680288814,6.432886838310437
20,Susan,20,low,80,row_B4,center,middle,1.5970324812830228,1.31424230737328,49.2,2.52,8.0,1.17,0.8055275107120075,1.3410761451115571,5.594869896942176
23,Susan,23,low,80,row_A5,right,far,0.8895987197760135,1.2436942855481237,37.0,2.63,5.45,2.7,1.3977774396531384,1.376028266674394,4.063121202825818
24,Susan,24,low,80,row_C3,center,close,1.8986409028490696,1.8484710378434899,18.2,1.82,4.12,0.72,0.5572995598536834,1.0923843858945115,3.2049458320597233
28,Susan,28,low,80,row_A4,center,far,0.7211332751995044,0.984316517252044,32.8,1.84,5.33,0.98,0.7069683532443505,1.1002263301204773,3.9876453505418556
29,Susan,29,low,80,row_B3,center,middle,0.7463632183507649,1.2997054770023475,15.3,1.42,3.44,0.54,0.4412398463969702,0.9239961044962497,2.744936568373785
