PtxID,TrialNum,height,tempos,TargetID,TargetLateral,TargetVertical,MaxVel_Real,MaxVel_Virt,Lag,PathOffset,PathOffsetNoLag,EndError
Susan,0,low,80,row_A1,left,far,2.1442617985915033,1.6611200200111735,0.0,2.55,2.55,1.37
Susan,1,low,80,row_A6,right,far,1.5359221876867852,1.7395672862509866,43.8,3.65,6.71,3.3
Susan,2,low,80,row_B4,center,middle,1.4009083794058832,1.6218053373598313,70.0,2.05,9.98,1.05
Susan,3,low,80,row_B2,left,middle,2.8181870261415782,1.0477396685229028,35.2,1.57,6.6,0.58
Susan,4,low,80,row_C4,center,close,1.2542884400525842,1.3949736427301087,52.5,1.98,8.45,1.2
Susan,5,low,80,row_A5,right,far,1.5678910265993922,1.9804973619060866,36.0,2.24,5.6,0.92
Susan,6,low,80,row_C3,center,close,3.1430220147944437,1.2473429053411933,54.6,2.3,10.32,1.36
Susan,7,low,80,row_A2,left,far,4.183901844376388,1.4194168409529624,136.8,9.54,32.55,8.46
Susan,8,low,80,row_B1,left,middle,1.3686650043588457,2.2733778136515723,171.0,18.7,49.59,2.36
Susan,9,low,80,row_A3,center,far,2.1583411882749326e-08,0.8999527612122985,149.0,9.53,28.87,6.63
Susan,10,low,80,row_A4,center,far,1.5851091677703817,1.2674549997310145,62.4,4.53,12.48,0.74
Susan,11,low,80,row_B3,center,middle,1.047598990473157,1.1151956689773337,49.2,1.6,7.98,1.42
Susan,12,low,80,row_C5,right,close,2.0425673839646405,1.6907194771520573,17.4,2.37,4.03,1.83
Susan,13,low,80,row_C1,left,close,0.017776749897660017,1.7955460184279426,187.0,52.59,72.09,56.59
Susan,14,low,80,row_B5,right,middle,2.400217554489014,1.7447887030732643,116.4,8.89,21.69,3.15
Susan,15,low,80,row_C2,left,close,5.703662405337857,1.850583479958899,69.6,8.28,20.6,2.39
Susan,16,low,80,row_B6,right,middle,1.6519782735214754,2.3811635244843314,41.2,6.37,9.48,2.01
Susan,17,low,80,row_C6,right,close,1.7420856028058895,16.11077191879099,88.0,49.79,60.51,83.81
Susan,18,low,80,row_A1,left,far,6.433205186040934,2.4163500885924396,181.0,13.02,44.02,12.41
Susan,19,low,80,row_A6,right,far,2.565448295730948,2.92636910873711,19.4,19.54,20.83,18.24
Susan,20,low,80,row_B4,center,middle,1.5970324812830228,1.31424230737328,49.2,2.52,8.0,1.17
Susan,21,low,80,row_B2,left,middle,1.5887825615184065e-08,1.1260345250762882,188.0,25.07,44.34,25.32
Susan,22,low,80,row_C4,center,close,2.745869858302149,1.3988446940178967,33.8,10.12,14.1,1.18
Susan,23,low,80,row_A5,right,far,0.8895987197760135,1.2436942855481237,37.0,2.63,5.45,2.7
Susan,24,low,80,row_C3,center,close,1.8986409028490698,1.84847103784349,18.2,1.82,4.12,0.72
